,ID,DateTime,Type,Category,Description,IsCredit,IsDebit,Gross,Net,Balance,Unallocated,VAT
0,rps_lng-,2021-10-27T00:00:00+01:00,Opening Balance CR,Float,Opening Balance,False,False,,,,,
1,rps_lng-HDO21411701,2021-10-27T00:00:00+01:00,Payment,Tenant Payment,Tenancy Receipt Ref: DEFT Bpay 44815918,True,False,4302.0,4302.0,4302.0,,
2,rps_lng-HDO21411949,2021-10-28T00:00:00+01:00,Invoice,Deposit,Deposit invoice,False,True,2151.0,2151.0,2151.0,,
3,rps_lng-HDO21411950,2021-10-28T00:00:00+01:00,,Deposit,Deposit held,True,False,2151.0,2151.0,4302.0,,
4,rps_lng-HDO21428446,2021-11-08T00:00:00+00:00,Invoice,,Transfer deposit to deposit protection scheme. Ref: 15178870,False,True,2151.0,2151.0,2151.0,,
5,rps_lng-HDO21437989,2021-11-12T00:00:00+00:00,Invoice,Rent,Rent from 12/11/2021 to 11/12/2021 for 35A Cameron Street,False,True,2151.0,2151.0,,,
6,rps_lng-HDO21471059,2021-12-12T00:00:00+00:00,Invoice,Rent,Rent from 12/12/2021 to 11/01/2022 for 35A Cameron Street,False,True,2151.0,2151.0,-2151.0,,
7,rps_lng-HDO21480642,2021-12-13T00:00:00+00:00,Payment,Tenant Payment,Tenancy Receipt Ref: 35ACAMERONSTREET,True,False,2151.0,2151.0,,,
8,rps_lng-HDO22007883,2022-01-12T00:00:00+00:00,Invoice,Rent,Rent from 12/01/2022 to 11/02/2022 for 35A Cameron Street,False,True,2151.0,2151.0,-2151.0,,
9,rps_lng-HDO22017556,2022-01-12T00:00:00+00:00,Payment,Tenant Payment,Tenancy Receipt Ref: 35ACAMERONSTREET,True,False,2151.0,2151.0,,,
10,rps_lng-HDO22053514,2022-02-12T00:00:00+00:00,Invoice,Rent,Rent from 12/02/2022 to 11/03/2022 for 35A Cameron Street,False,True,2151.0,2151.0,-2151.0,,
11,rps_lng-HDO22065728,2022-02-14T00:00:00+00:00,Payment,Tenant Payment,Tenancy Receipt Ref: 35ACAMERONSTREET,True,False,2151.0,2151.0,,,
