creditor_id,name,company_name,abn,address_unit,address_street_no,address_street_1,address_street_2,address_suburb,address_state,address_postcode,mailing_address_unit,mailing_address_street_no,mailing_address_street_1,mailing_address_street_2,mailing_address_suburb,mailing_address_state,mailing_address_postcode,preferred_email,preferred_phone,additional_emails,additional_phones,other_contact_info,preferred_comm_method,default_account_code,is_gst_exempt,is_priority,is_strata_creditor,strata_plan_number,strata_building_name,strata_self_managed,strata_building_street_no,strata_building_street_1,strata_building_street_2,strata_building_suburb,strata_building_state,strata_building_postcode,payment_method,cheque_pay_to,eft_account_name,eft_account_bsb,eft_account_no,bpay_reference,contact_[n]_id,contact_[n]_type,tag_[group name]
rps_lng-HDO19001782,,Electrolux,,,,,,,,,,,,,,,,contracts@electrolux.com.au,Work 131349,,,,contracts@electrolux.com.au,,,,,,,,,,,,,,,,,,,,,,
rps_lng-HDO19002680,,A To Z Glass,,8,,Taunton Avenue,,Oakleigh South,VIC,3167,,,,,,,,lozsteve@bigpond.net.au,,,,,lozsteve@bigpond.net.au,,,,,,,,,,,,,,,,,,,,,,
rps_lng-HDO12001538,,Carpet   World,,575,,Burwood Road,,Hawthorn,VIC,3122,,,,,,,,sales@carpetworld.net.au,,,Mobile 0418 336 884 Fax 03 9815 1011,,sales@carpetworld.net.au,,,,,,,,,,,,,,,,,,,,,,
rps_lng-HDO19001848,,PlumbLocal,,193,,Balcombe Rd,Beaumaris 3193,,,,,,,,,,,contactplumblocal@gmail.com,,,,,contactplumblocal@gmail.com,,,,,,,,,,,,,,,,,,,,,,
rps_lng-JAM21000034,,Melbourne Garage Door Repairs,,,,,,,,,,,,,,,,info@melbournegaragedoorrepairs.com.au,,,Mobile 0499 737 247,,info@melbournegaragedoorrepairs.com.au,,,,,,,,,,,,,,,,,,,,,,
rps_lng-SAN21000010,,Peachy Cleaning Services Pty Ltd,,12,,Blaxland Drive,,Dandenong North,VIC,3175,,,,,,,,peachycleaningservices7@gmail.com,,,Mobile 0426 243 011,,peachycleaningservices7@gmail.com,,,,,,,,,,,,,,,,,,,,,,
rps_lng-WES19000032,,JM Home Maintenance,,82,,Phillips Street,,Coburg,VIC,3058,,,,,,,,ljmesis@gmail.com,Work 9386 2263,,Mobile 0407 689 953,,ljmesis@gmail.com,,,,,,,,,,,,,,,,,,,,,,
rps_lng-HDO19004001,,Oates Roofing Maintenance Services Pty Ltd,,,,,,,,,,,,,,,,admin@oatesroofing.com.au,,,Mobile 0435 695 466,,admin@oatesroofing.com.au,,,,,,,,,,,,,,,,,,,,,,
rps_lng-WES20000011,,Looks Great Property Services,,13,,Nagle Drive,,Point Cook,VIC,3030,,,,,,,,info@looksgreatpropertyservices.com.au,,,,,info@looksgreatpropertyservices.com.au,,,,,,,,,,,,,,,,,,,,,,
rps_lng-HDO18002118,,Intrinsic Cleaning Solutions,,11,,Retreat Avenue,,Cranbourne North,,3977,,,,,,,,anjana@intrinsiccs.com.au,,,,,anjana@intrinsiccs.com.au,,,,,,,,,,,,,,,,,,,,,,
rps_lng-HDO17001477,,Andy-Man-Can!,,,,,,,,,,,,,,,,andy.man.can@bigpond.com,,,Mobile 0424 372 194,,andy.man.can@bigpond.com,,,,,,,,,,,,,,,,,,,,,,
rps_lng-CHA19000037,,Ace Locksmiths,,29,,Carlisle Street,,St Kilda,VIC,3182,,,,,,,,sales@acelocksmiths.com,Work 03 9534 0586,,,,sales@acelocksmiths.com,,,,,,,,,,,,,,,,,,,,,,
rps_lng-DRE21000027,,Darebin Gas,,265,,Holt Parade,,Thomastown,VIC,3074,,,,,,,,admin@darebingas.com.au,Work 03 9463 1555,,,,admin@darebingas.com.au,,,,,,,,,,,,,,,,,,,,,,
rps_lng-HDO15002945,,1. Pestwise Possum & Pest Control,,,,PO Box 582,,Brentford Square,VIC,3131,,,,,,,,pestwise@hotmail.com,Work 03 9886 6009,,,,pestwise@hotmail.com,,,,,,,,,,,,,,,,,,,,,,
rps_lng-CVA21002615,,Bluestone OCM - Key/Fob (601 St Kilda Rd),,312,,St Kilda Road,,MELBOURNE,VIC,3004,,,,,,,,info@bluestoneocm.com.au,,,,,info@bluestoneocm.com.au,,,,,,,,,,,,,,,,,,,,,,
rps_lng-HDO13000942,,1. Fixed Plumbing & Gasfitting,,,,PO Box 238,,Seaford,Vic,3198,,,,,,,,fixed.plumbing@bigpond.com,,,Fax 03 9786 8143,,fixed.plumbing@bigpond.com,,,,,,,,,,,,,,,,,,,,,,
rps_lng-HDO12001519,,Electrolux Home Products Pty Ltd,,,,GPO Box 4852,,Sydney,NSW,2001,,,,,,,,au.contracts@electrolux.com.au,,,,,au.contracts@electrolux.com.au,,,,,,,,,,,,,,,,,,,,,,
rps_lng-HDO18000911,,DOORMATION Tindale Pty Ltd,,8,,"Southey Street,",,Williamstown North,VIC,3016,,,,,,,,ana@doormation.com.au,Work (03) 9399 8039,,Fax (03) 9399 8091,,ana@doormation.com.au,,,,,,,,,,,,,,,,,,,,,,
rps_lng-HDO19005792,,Berwick Pest Control Pty Ltd,,1/1-7,,"Enterprise Avenue,",,Berwick,VIC,3806,,,,,,,,info@berwickpestcontrol.com,,,Mobile (03) 9705 8323,,info@berwickpestcontrol.com,,,,,,,,,,,,,,,,,,,,,,
rps_lng-VAD22000038,Somerville North,Jim's Mowing,,,,PO Box 653,,Somerville,VIC,3912,,,,,,,,glenn.simester@jimsmowing.net,,,Mobile 0403 343 271,,glenn.simester@jimsmowing.net,,,,,,,,,,,,,,,,,,,,,,
rps_lng-HDO19001439,,Diverse Appliances Services,,7/80,,Mills Road,,Braeside,VIC,3195,,,,,,,,service@diverseappliances.com.au,Work 9580 2186,,,,service@diverseappliances.com.au,,,,,,,,,,,,,,,,,,,,,,
rps_lng-HDO15001021,,Nifty Maintenance,,10,,Witney Court,,Darley,Vic,3340,,,,,,,,niftymaintenance@gmail.com,,,Mobile 0410 822 153,,niftymaintenance@gmail.com,,,,,,,,,,,,,,,,,,,,,,
rps_lng-HDO18000994,,Property & Grounds,,,,PO Box 736,,Willliamstown,Vic,3016,,,,,,,,dean@propertyandgrounds.com.au,,,Mobile 0434391391,,dean@propertyandgrounds.com.au,,,,,,,,,,,,,,,,,,,,,,
rps_lng-HDO16001022,,Investa Projects Pty Ltd,,,,PO Box 173,,Hawthorn,Vic,3122,,,,,,,,enquiries@investaprojects.com,,,Fax 03 9815 1654,,enquiries@investaprojects.com,,,,,,,,,,,,,,,,,,,,,,
rps_lng-WES19000013,,2. Intrinsic Cleaning,,11,,Retreat Avenue,,Cranbourne North,VIC,3977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rps_lng-HDO18002075,,Pro Power Electrical & Data,,4/2A,,Brenbeal Street,,Balwyn,VIC,3103,,,,,,,,admin@pped.com.au,Work 1300 051 033,,,,admin@pped.com.au,,,,,,,,,,,,,,,,,,,,,,
rps_lng-HDO19004396,,DJS Melbourne Plumbing Solutions,,14,,Commercial Drive,,Thomastown,VIC,3074,,,,,,,,orders@djsmps.com.au,Work 03 8456 0507,,,,orders@djsmps.com.au,,,,,,,,,,,,,,,,,,,,,,
rps_lng-HDO17002854,,Jim's Mowing Mt Waverley Sth West,,18/1470,,Ferntree Gully Rd,,Knoxfield,VIC,3180,,,,,,,,john.wildes@jimsmowing.net,,,Mobile 0466 136 654,,john.wildes@jimsmowing.net,,,,,,,,,,,,,,,,,,,,,,
rps_lng-HDO19001115,,Fantastic Services Group Pty Ltd,,,,Hoppers Crossing 3029,,,,,,,,,,,,office@fantasticservicesgroup.com.au,Work 1300233268,,,,office@fantasticservicesgroup.com.au,,,,,,,,,,,,,,,,,,,,,,
rps_lng-HDO19001480,,Kleen-Tech,,3A/53-59,,Avenue Road,,Camberwell,VIC,3124,,,,,,,,admin@kleentech.com.au,Work 1300 305 030,,Fax 03 9885 7874,,admin@kleentech.com.au,,,,,,,,,,,,,,,,,,,,,,
rps_lng-HDO19001076,,All Property Plumbing Pty Ltd,,,,PO Box 2727,Mount Waverley,,,,,,,,,,,service@allpropertyplumbing.com.au,,,,,service@allpropertyplumbing.com.au,,,,,,,,,,,,,,,,,,,,,,
rps_lng-DRE21000029,,Genuine Appliance Parts,,,,,,,,,,,,,,,,enquiries@genuineapplianceparts.com.au,Work 03 8373 6044,,,,enquiries@genuineapplianceparts.com.au,,,,,,,,,,,,,,,,,,,,,,
rps_lng-VAD23000006,,Louis Pest Control,,,,,,,,,,,,,,,,Louispestcontrol@hotmail.com,,,Mobile 0452 531 970,,Louispestcontrol@hotmail.com,,,,,,,,,,,,,,,,,,,,,,
rps_lng-HDO19004465,,Hire A Hubby South Yarra,,16/345,,Plummer Street,,Port Melbourne,VIC,3207,,,,,,,,southyarra.vic@hireahubby.com.au,,,Home 1300 171 790,,southyarra.vic@hireahubby.com.au,,,,,,,,,,,,,,,,,,,,,,
rps_lng-CHA20000006,,JJC Maintenance Group,,11,,Dallas Street,,Mentone,VIC,3194,,,,,,,,jjcmaintenancegroup@gmail.com,,,Mobile 0433333580,,jjcmaintenancegroup@gmail.com,,,,,,,,,,,,,,,,,,,,,,
rps_lng-HDO17002857,,CJ Gas and Water,,,,,,,,,,,,,,,,cjgaswater@outlook.com,,,Mobile 0438 047 134,,cjgaswater@outlook.com,,,,,,,,,,,,,,,,,,,,,,
rps_lng-VAD21000019,,Propper Maintenance Pty Ltd,,Suite 3,,Level 2/118 Devonshire,,Surry Hills,NSW,2010,,,,,,,,longview@proppermaintenance.com.au,Work 1300 622 748,,,,longview@proppermaintenance.com.au,,,,,,,,,,,,,,,,,,,,,,
