creditor_id,name,company_name,abn,address_unit,address_street_no,address_street_1,address_street_2,address_suburb,address_state,address_postcode,mailing_address_unit,mailing_address_street_no,mailing_address_street_1,mailing_address_street_2,mailing_address_suburb,mailing_address_state,mailing_address_postcode,preferred_email,preferred_phone,additional_emails,additional_phones,other_contact_info,preferred_comm_method,default_account_code,is_gst_exempt,is_priority,is_strata_creditor,strata_plan_number,strata_building_name,strata_self_managed,strata_building_street_no,strata_building_street_1,strata_building_street_2,strata_building_suburb,strata_building_state,strata_building_postcode,payment_method,cheque_pay_to,eft_account_name,eft_account_bsb,eft_account_no,bpay_reference,contact_[n]_id,contact_[n]_type,tag_[group name]
rps_lng-HDO19001342,Ochre Plumbing & Gasfitting,Ochre Plumbing & Gasfitting,,,,Ochre Plumbing & Gasfi15 Monteith S,Altona North,,Vic,3025,,,,,,,,scottorr@ochreplumbingandgasfitting.com.au,,,,,Email,,,,,,,,,,,,,,,,,,,,,,
rps_lng-SAN21000010,Peachy Cleaning Services Pty Ltd,Peachy Cleaning Services Pty Ltd,,,12,Blaxland Drive,,Dandenong North,VIC,3175,,,,,,,,peachycleaningservices7@gmail.com,Mobile 0426243011,,Mobile 0426243011,,Email,,,,,,,,,,,,,,,,,,,,,,
rps_lng-HDO21001446,D.W. & A.E. BRIGHAM PTY LTD,D.W. & A.E. BRIGHAM PTY LTD,,,,PO Box 210,,Emerald,VIC,3782,,,,,,,,michael@brighamplumbing.com.au,Work 0401 268 197,,Mobile 0408549145 Home 0418324995,,Email,,,,,,,,,,,,,,,,,,,,,,
rps_lng-HDO19001847,Plum Heating and Cooling,Plum Heating and Cooling,,4,22-30,Wallace Ave,Point Cook,,VIC,3030,,,,,,,,contact@plumheatcool.com.au,Work 0383609622,,,,Email,,,,,,,,,,,,,,,,,,,,,,
rps_lng-HDO19001188,Smoke Alarms Australia,Smoke Alarms Australia,,,,P O Box 1531,Neutral Bay,,NSW,2089,,,,,,,,vic@smokealarmsaustralia.com.au,Work 1300125276,,,,Email,,,,,,,,,,,,,,,,,,,,,,
rps_lng-HDO12001463,Network Pacific- O/C Fees,Network Pacific- O/C Fees,,,,"StrataPay
Locked Bag 9, GCMC",,Bundall,,,,,,,,,,info@networkpacific.com.au,,,Fax 0398164799,,Email,,,,,,,,,,,,,,,,,,,,,,
rps_lng-COS19000051,Our Air Airconditioning,Our Air Airconditioning,,,4,71 Frankston Gardens,,Carrum Downs,VIC,3201,,,,,,,,nicole@ourair.com.au,Work 9770 8879,,,,Email,,,,,,,,,,,,,,,,,,,,,,
rps_lng-HDO19001378,Western Water,Western Water,,,,P O Box 2371,Sunbury DC,,Vic,3429,,,,,,,,mail@westernwater.com.au,Work 1300 650422,,,,Email,,,,,,,,,,,,,,,,,,,,,,
rps_lng-HDO19001283,Detector Inspector,Detector Inspector,,,,P O Box 542,Elsternwick,,Vic,3185,,,,,,,,jobs@detectorinspector.com.au,Work 1300 134563,,Fax 95328894,,Email,,,,,,,,,,,,,,,,,,,,,,
rps_lng-HDO19001496,Moreland City Council,Moreland City Council,,,,Locked Bag 10,Moreland,,Vic,3058,,,,,,,,bmarasco@moreland.vic.gov.au,Work 9240 1111,,,,Email,,,,,,,,,,,,,,,,,,,,,,
rps_lng-HDO19004776,OC Pride,OC Pride,,,,PO Box 496,,Williamstown,VIC,3016,,,,,,,,antionette@ocpride.com.au,Mobile 0421085305,,Mobile 0421085305,,Email,,,,,,,,,,,,,,,,,,,,,,
rps_lng-DRE19000036,Verve Maintenance,Verve Maintenance,,16,21,Sabre Drive,,Port Melbourne,VIC,3207,,,,,,,,office@vervevic.com.au,Work 03 9681 8351,,,,Email,,,,,,,,,,,,,,,,,,,,,,
rps_lng-HDO19002747,Jim's Mowing (Werribee East),Jim's Mowing (Werribee East),,,62,Market Road,,Werribee,VIC,3030,,,,,,,,robert.wesutan@jimsmowing.net,Mobile 0415723982,,Mobile 0415723982,,Email,,,,,,,,,,,,,,,,,,,,,,
rps_lng-HDO19002224,MICM Property Owners Corporation,MICM Property Owners Corporation,,,178,City Road,,Southbank,VIC,3006,,,,,,,,info@micm.com.au,Work 9697 8888,,,,Email,,,,,,,,,,,,,,,,,,,,,,
rps_lng-SAN22000095,Greenhills,Greenhills,,9,88,Northgate Drive,,Thomastown,VIC,3074,,,,,,,,greenhillselectrics@outlook.com,Mobile 0408309653,,Mobile 0408309653,,Email,,,,,,,,,,,,,,,,,,,,,,
rps_lng-SAN22000052,Milford Arch Pty Ltd,Milford Arch Pty Ltd,,,,30 Derwent Road,,Werribee,VIC,3030,,,,,,,,milfordarch@hotmail.com,Mobile 0412210593,,Mobile 0412210593,,Email,,,,,,,,,,,,,,,,,,,,,,
rps_lng-HDO19001546,Wyndham City Council,Wyndham City Council,,,,Locked Bag 14839,Melbourne Mail Centre,,Vic,8299,,,,,,,,mail@wyndham.vic.gov.au,Work 03 9742 0777,,,,Email,,,,,,,,,,,,,,,,,,,,,,
rps_lng-HDO20001930,Melbourne Heating & Airconditioning Repairs,Melbourne Heating & Airconditioning Repairs,,,52-60,Factory Drive,,Tullamarine,VIC,3043,,,,,,,,bookings@melbair.com.au,Work 1300 655 708,,,,Email,,,,,,,,,,,,,,,,,,,,,,
rps_lng-HDO19004377,Plumbmaster,Plumbmaster,,,,PO Box 291,,Coburg,VIC,3058,,,,,,,,service@plumbmastermelbourne.com.au,Mobile 0409933034,,Mobile 0409933034,,Email,,,,,,,,,,,,,,,,,,,,,,
rps_lng-HDO22004084,Gate Gurus,Gate Gurus,,,,PO Box 3016,,Ripponlea,VIC,3185,,,,,,,,info@gategurus.com.au,Home 0390524903,,Home 0390524903,,Email,,,,,,,,,,,,,,,,,,,,,,
rps_lng-DRE21000027,Darebin Gas,Darebin Gas,,,265,Holt Parade,,Thomastown,VIC,3074,,,,,,,,admin@darebingas.com.au,Work 03 9463 1555,,,,Email,,,,,,,,,,,,,,,,,,,,,,
rps_lng-HDO18002075,Pro Power Electrical & Data,Pro Power Electrical & Data,,4,2A,Brenbeal Street,,Balwyn,VIC,3103,,,,,,,,admin@pped.com.au,Work 1300 051 033,,,,Email,,,,,,,,,,,,,,,,,,,,,,
rps_lng-CVA21002034,Real Estate Electrical Service,Real Estate Electrical Service,,,,PO Box 425,,MALVERN,VIC,3144,,,,,,,,marty@sparky2go.com.au,Mobile 0418346878,,Mobile 0418346878,,Email,,,,,,,,,,,,,,,,,,,,,,
rps_lng-HDO21000365,Distinction Plumbing & Gas Pty Ltd,Distinction Plumbing & Gas Pty Ltd,,,,PO Box 131,,Tullamarine,VIC,3043,,,,,,,,info@distinctionplumbingandgas.com.au,Mobile 0418222484,,Mobile 0418222484,,Email,,,,,,,,,,,,,,,,,,,,,,
rps_lng-SAN22000025,Plum Electrical,Plum Electrical,,,,PO Box 6014,,Point Cook,VIC,3030,,,,,,,,info@plumelectrical.com.au,,,,,Email,,,,,,,,,,,,,,,,,,,,,,
rps_lng-HDO19001513,Quantum United Management Pty Ltd,Quantum United Management Pty Ltd,,,,"Suite 4, Level 1",100 Overton Rd,,Williams Landing,,,,,,,,,info@quantumunited.com.au,Work 83608800,,Fax 83608899,,Email,,,,,,,,,,,,,,,,,,,,,,
rps_lng-VAD21000043,Garden Manicure,Garden Manicure,,,,,,,,,,,,,,,,gardenmanicure@ozemail.com.au,Mobile 0417807848,,Mobile 0417807848,,Email,,,,,,,,,,,,,,,,,,,,,,
rps_lng-HDO17002776,Bluestone Owners Corp - BPAY,Bluestone Owners Corp - BPAY,,,,PO Box 8633,,Armadale,Vic,3143,,,,,,,,info@bluestoneocm.com.au,,,,,Email,,,,,,,,,,,,,,,,,,,,,,
