property_id,ownership_id,property_type,unit,street_no,street_1,street_2,suburb,state,postcode,bedrooms,bathrooms,car_spaces,lot_no,area,authority_start,authority_end,gained,gained_reason,rent_account,rent_description,rent_amount,rent_period,outgoings_[n]_account,outgoings_[n]_description,outgoings_[n]_amount,tag_[group name],fee_1,fee_2,fee_3,fee_4,fee_5,fee_6,fee_7,Property Manager
rps_lng-CVA210023,rps_lng-CVA210015, Residential_  ,,35A,Cameron Street,,COBURG,VIC,3058,2,1,1,,0,1999-01-01,,2023-01-30T09:32:19+00:00,,100005,,495.02,Monthly,,,,,8.8,6.6,,,,,40.0,Kasey Neuendorf
rps_lng-CVA210032,rps_lng-CVA210020, Residential_  ,,124,Leicester Street,,FITZROY,VIC,3065,2,1,1,,0,1999-01-01,,2023-01-30T09:51:38+00:00,,100005,,710.2,Weekly,,,,,8.8,6.6,,,,,40.0,Kasey Neuendorf
rps_lng-CVA210067,rps_lng-CVA210054, Residential_  ,904,1,Roy Street,,MELBOURNE,VIC,3004,2,1,2,,0,1999-01-01,,2022-07-19T18:55:19+01:00,,100005,,640.01,Weekly,,,,,6.6,4.4,,,,,40.0,Kasey Neuendorf
rps_lng-CVA210068,rps_lng-CVA210055, Residential_  ,33,88,Franklin Street,,MELBOURNE,VIC,3000,1,1,0,,0,1999-01-01,,2022-06-02T15:01:05+01:00,,100005,,330.0,Weekly,,,,,7.7,4.4,,,,,40.0,Kasey Neuendorf
rps_lng-CVA210071,rps_lng-CVA210058, Residential_  ,31,88,Franklin Street,,MELBOURNE,VIC,3000,1,1,0,,0,1999-01-01,,2023-03-18T14:32:20+00:00,,100005,,429.9,Weekly,,,,,8.25,4.4,,,,,40.0,Kasey Neuendorf
rps_lng-CVA210072,rps_lng-CVA210059, Residential_  ,50,88,Franklin Street,,MELBOURNE,VIC,3000,2,1,0,,0,1999-01-01,,2023-01-10T11:19:01+00:00,,100005,,410.1,Monthly,,,,,7.7,4.4,,,,,40.0,Kasey Neuendorf
rps_lng-CVA210073,rps_lng-CVA210060, Residential_  ,52,88,Franklin Street,,MELBOURNE,VIC,3000,1,1,0,,0,1999-01-01,,2023-07-18T13:32:14+01:00,,100005,,365.23,Weekly,,,,,7.7,4.4,,,,,40.0,Kasey Neuendorf
rps_lng-CVA210117,rps_lng-CVA210104, Residential_  ,,47,Gillies Street,,FAIRFIELD,VIC,3078,3,1,0,,0,1999-01-01,,2023-01-30T09:22:26+00:00,,100005,,815.15,Weekly,,,,,6.6,5.5,,,,,40.0,Kasey Neuendorf
rps_lng-CVA210118,rps_lng-CVA210104, Residential_  ,,121,Holden Street,,FITZROY NORTH,VIC,3068,4,1,1,,0,1999-01-01,,2023-04-13T12:09:26+01:00,,100005,,955.07,Monthly,,,,,,,,,,,,Kasey Neuendorf
rps_lng-CVA210153,rps_lng-CVA210143, Residential_  ,19,88,Franklin Street,,MELBOURNE,VIC,3000,1,1,0,,0,1999-01-01,,2023-04-12T19:01:24+01:00,,100005,,360.16,Weekly,,,,,7.0,5.5,,,,,40.0,Kasey Neuendorf
