creditor_id,name,company_name,abn,address_unit,address_street_no,address_street_1,address_street_2,address_suburb,address_state,address_postcode,mailing_address_unit,mailing_address_street_no,mailing_address_street_1,mailing_address_street_2,mailing_address_suburb,mailing_address_state,mailing_address_postcode,preferred_email,preferred_phone,additional_emails,additional_phones,other_contact_info,preferred_comm_method,default_account_code,is_gst_exempt,is_priority,is_strata_creditor,strata_plan_number,strata_building_name,strata_self_managed,strata_building_street_no,strata_building_street_1,strata_building_street_2,strata_building_suburb,strata_building_state,strata_building_postcode,payment_method,cheque_pay_to,eft_account_name,eft_account_bsb,eft_account_no,bpay_reference,contact_[n]_id,contact_[n]_type,tag_[group name]
rps_lng-HDO18002118,,Intrinsic Cleaning Solutions,,11,,Retreat Avenue,,Cranbourne North,,3977,,,,,,,,anjana@intrinsiccs.com.au,,,,,anjana@intrinsiccs.com.au,,,,,,,,,,,,,,,,,,,,,,
rps_lng-HDO19001493,,Mode Heating & Cooling,,21/283-293,,Rex Road,,Campbellfield,VIC,3061,,,,,,,,info@modeheatingandcooling.com.au,,,,,info@modeheatingandcooling.com.au,,,,,,,,,,,,,,,,,,,,,,
rps_lng-CVA21001882,,AirMac Solutions,,Jan-43,,Cluden Street,,BRIGHTON EAST,VIC,3187,,,,,,,,joel@airmacsolutions.com.au,,,Mobile 0418 363 927,,joel@airmacsolutions.com.au,,,,,,,,,,,,,,,,,,,,,,
rps_lng-SAN22000052,,Milford Arch Pty Ltd,,,,30 Derwent Road,,Werribee,VIC,3030,,,,,,,,milfordarch@hotmail.com,,,Mobile 0412 210 593,,milfordarch@hotmail.com,,,,,,,,,,,,,,,,,,,,,,
rps_lng-HDO23000139,,Jim's Mowing (Hillside),,,,Faircroft Drive,,Brookfield,VIC,3338,,,,,,,,scott.cain@jimsmowing.net,,,Mobile 0418 612 155,,scott.cain@jimsmowing.net,,,,,,,,,,,,,,,,,,,,,,
rps_lng-SAN22000025,,Plum Electrical,,,,PO Box 6014,,Point Cook,VIC,3030,,,,,,,,info@plumelectrical.com.au,,,,,info@plumelectrical.com.au,,,,,,,,,,,,,,,,,,,,,,
rps_lng-HDO19001421,,Auburn Electrical Services,,,,P O Box 284,Kew East,,Vic,3102,,,,,,,,auburnelectrical@bigpond.com,,,Mobile 0419341052,,auburnelectrical@bigpond.com,,,,,,,,,,,,,,,,,,,,,,
rps_lng-HDO19002941,Werribee,Fox Mowing & Gardening,,,,PO BOX 661,,Werribee,VIC,3030,,,,,,,,paulm@foxmowing.com.au,,,,,paulm@foxmowing.com.au,,,,,,,,,,,,,,,,,,,,,,
rps_lng-SAN21000139,,Top Panel Garage Doors,,253,,Painted Hills Road,,Doreen,VIC,3754,,,,,,,,goran.sepecan@gmail.com,,,,,goran.sepecan@gmail.com,,,,,,,,,,,,,,,,,,,,,,
rps_lng-HDO18000957,,Dibs  Plumbing,,,,,,,,,,,,,,,,samndib@gmail.com,,,Mobile 0450923820,,samndib@gmail.com,,,,,,,,,,,,,,,,,,,,,,
rps_lng-HDO22001591,,Little Ripper Property Services,,6,,Beamish Street,,Werribee,VIC,3030,,,,,,,,robbiellanos@outlook.com,,,Mobile 0417 511 387,,robbiellanos@outlook.com,,,,,,,,,,,,,,,,,,,,,,
rps_lng-HDO13002453,,Abell Maintenance Pty Ltd,,30,,Owen Street,,Boronia,VIC,3155,,,,,,,,abellmaintenance@gmail.com,,,Mobile 0402 421 031,,abellmaintenance@gmail.com,,,,,,,,,,,,,,,,,,,,,,
rps_lng-JAM21000001,,Toms Pest Control,,,,,,,,,,,,,,,,office@tomspestcontrol.com.au,,,Home 9034 5957,,office@tomspestcontrol.com.au,,,,,,,,,,,,,,,,,,,,,,
rps_lng-CVA21002500,Caroline Springs,Tile Rescue,,62,,Ardlie Street,,ATTWOOD,VIC,3049,,,,,,,,carolinesprings@tilerescue.com.au,,,,,carolinesprings@tilerescue.com.au,,,,,,,,,,,,,,,,,,,,,,
rps_lng-HDO14000888,,Diverse Appliance Service,,Jul-80,,Mills Road,,Braeside,VIC,3195,,,,,,,,service@diverseappliances.com.au,Work 9580 2186,,Mobile 0403 644 397 D Fax 03 9505 0253,,service@diverseappliances.com.au,,,,,,,,,,,,,,,,,,,,,,
rps_lng-HDO19001078,,All West Mobile Locksmiths,,14,,Dorrington Street,Point Cook,,Vic,3030,,,,,,,,allwestlock@gmail.com,,,Mobile 0411484552 Fax 03 395 6911,,allwestlock@gmail.com,,,,,,,,,,,,,,,,,,,,,,
rps_lng-SAN22000095,,Greenhills,,Sep-88,,Northgate Drive,,Thomastown,VIC,3074,,,,,,,,greenhillselectrics@outlook.com,,,Mobile 0408 309 653,,greenhillselectrics@outlook.com,,,,,,,,,,,,,,,,,,,,,,
rps_lng-HDO20000501,,GM Pest Solutions,,4/02/2006,,Wanrua Street,,Cheltenham,VIC,3192,,,,,,,,gavin@gmpestsolutions.com.au,,,,,gavin@gmpestsolutions.com.au,,,,,,,,,,,,,,,,,,,,,,
rps_lng-CHA19000037,,Ace Locksmiths,,29,,Carlisle Street,,St Kilda,VIC,3182,,,,,,,,sales@acelocksmiths.com,Work 03 9534 0586,,,,sales@acelocksmiths.com,,,,,,,,,,,,,,,,,,,,,,
rps_lng-HDO21000430,,A Grade Maintenance Service Pty Ltd,,,,,,,,,,,,,,,,,Work 1300 208 262,,,,,,,,,,,,,,,,,,,,,,,,,,
rps_lng-SAN21000143,,Gulnaz Wahaf,,,,,,,,,,,,,,,,gwahaf@gmail.com,,,Mobile 0401 825 825,,gwahaf@gmail.com,,,,,,,,,,,,,,,,,,,,,,
rps_lng-HDO22002848,,Margelis Co. Cleaning,,51,,Reema Boulevard,,Endeavour Hills,VIC,3802,,,,,,,,emiliamargelis@gmail.com,,,Mobile 0410 118 135,,emiliamargelis@gmail.com,,,,,,,,,,,,,,,,,,,,,,
rps_lng-HDO19004505,Hadfield Office,Human Key Locksmiths,,21,,Edgar Street,,Hadfield,VIC,3046,,,,,,,,humankeyservices@gmail.com,,,Mobile 0403 735 103,,humankeyservices@gmail.com,,,,,,,,,,,,,,,,,,,,,,
rps_lng-SAN21000109,,Total Plumbing and Gas Fitting,,,,PO Box 3133,,Caroline Springs,VIC,3023,,,,,,,,lisa@totalplumbing.net.au,,,Mobile 0418 550 372,,lisa@totalplumbing.net.au,,,,,,,,,,,,,,,,,,,,,,
rps_lng-HDO19001340,,Northern Plumbing Solutions,,,,PO BOX 652,Craigieburn,,VIC,3064,,,,,,,,northernps@optusnet.com.au,,,,,northernps@optusnet.com.au,,,,,,,,,,,,,,,,,,,,,,
rps_lng-WES20000152,,Active Appliances,,5,,Industrial Avenue,,Hoppers Crossing,VIC,3029,,,,,,,,activeappliances@westnet.com.au,,,,,activeappliances@westnet.com.au,,,,,,,,,,,,,,,,,,,,,,
rps_lng-HDO18002075,,Pro Power Electrical & Data,,4/2A,,Brenbeal Street,,Balwyn,VIC,3103,,,,,,,,admin@pped.com.au,Work 1300 051 033,,,,admin@pped.com.au,,,,,,,,,,,,,,,,,,,,,,
rps_lng-HDO19001658,,Quicklift Garage Doors,,52,,Malvern Street,Bayswater VIC 3153,,,,,,,,,,,office@quickliftdoors.com.au,Work 9729 6899,,,,office@quickliftdoors.com.au,,,,,,,,,,,,,,,,,,,,,,
rps_lng-CVA21004419,,Smarter Care Home Protection,,18,,Drake Boulevard,,ALTONA,VIC,3018,,,,,,,,accounts@smartercare.com.au,,,,,accounts@smartercare.com.au,,,,,,,,,,,,,,,,,,,,,,
rps_lng-HDO19004359,,Attend and Mend,,,,,,,,,,,,,,,,attendandmend@hotmail.com,,,Mobile 0408 568 711,,attendandmend@hotmail.com,,,,,,,,,,,,,,,,,,,,,,
