property_id,tenancy_id,status,inspection_type,inspection_date,start_time,end_time,general_note
rps_lng-CVA210023,rps_lng-HDO211377,Closed,Routine,2023-05-24,08:00:00,0 days 08:02:00,Inspection completed in IPX integration on 25/05/2023 by Scheduled Task
rps_lng-CVA210023,rps_lng-HDO211377,Confirmed,Routine,2022-05-25,08:00:00,0 days 08:08:00,completed and sent to LL
rps_lng-CVA210032,rps_lng-CVA210538,Closed,Routine,2023-07-21,09:00:00,0 days 09:03:00,Inspection completed in IPX integration on 22/07/2023 by Scheduled Task
rps_lng-CVA210032,rps_lng-CVA210538,Closed,Routine,2022-12-20,11:00:00,0 days 11:03:00,Inspection completed in IPX integration on 21/12/2022 by Scheduled Task
rps_lng-CVA210032,rps_lng-CVA210538,Closed,Routine,2022-06-17,09:00:00,0 days 09:03:00,Inspection completed in IPX integration on 05/07/2022 by Reapit
rps_lng-CVA210032,rps_lng-CVA210538,Closed,Routine,2021-06-04,19:00:00,0 days 19:01:00,Inspection completed in IPX integration on 19/06/2021 by Scheduled Task
rps_lng-CVA210066,rps_lng-HDO210209,Closed,Routine,2021-09-03,14:00:00,0 days 14:01:00,Inspection completed in IPX integration on 18/09/2021 by Scheduled Task
rps_lng-CVA210066,rps_lng-HDO220335,Closed,Routine,2022-09-15,10:00:00,0 days 10:02:00,Inspection completed in IPX integration on 29/09/2022 by Scheduled Task
rps_lng-CVA210067,rps_lng-CVA210093,Closed,Routine,2023-03-01,11:00:00,0 days 11:03:00,
rps_lng-CVA210067,rps_lng-CVA210093,Closed,Routine,2022-09-14,12:00:00,0 days 12:03:00,Inspection completed in IPX integration on 15/09/2022 by Scheduled Task
rps_lng-CVA210067,rps_lng-CVA210093,Closed,Routine,2022-03-08,09:00:00,0 days 09:02:00,Inspection completed in IPX integration on 03/04/2022 by Scheduled Task
rps_lng-CVA210067,rps_lng-CVA210093,Closed,Routine,2021-07-02,11:00:00,0 days 11:05:00,Inspection completed in IPX integration on 19/08/2021 by Reapit
rps_lng-CVA210068,rps_lng-HDO210202,Closed,Routine,2021-09-03,14:00:00,0 days 14:01:00,Inspection completed in IPX integration on 18/09/2021 by Scheduled Task
rps_lng-CVA210068,rps_lng-HDO220375,Closed,Routine,2023-03-01,09:00:00,0 days 09:02:00,Inspection completed in IPX integration on 03/03/2023 by Scheduled Task
rps_lng-CVA210068,rps_lng-HDO220375,Closed,Routine,2022-09-15,10:00:00,0 days 10:02:00,Inspection completed in IPX integration on 29/09/2022 by Scheduled Task
rps_lng-CVA210071,rps_lng-HDO210133,Closed,Routine,2022-09-15,10:00:00,0 days 10:02:00,Inspection completed in IPX integration on 29/09/2022 by Scheduled Task
rps_lng-CVA210071,rps_lng-HDO210133,Closed,Routine,2022-03-04,10:00:00,0 days 10:03:00,Inspection completed in IPX integration on 03/04/2022 by Scheduled Task
rps_lng-CVA210071,rps_lng-HDO210133,Closed,Routine,2021-09-03,14:00:00,0 days 14:01:00,Inspection completed in IPX integration on 10/09/2021 by Scheduled Task
rps_lng-CVA210072,rps_lng-HDO221153,Closed,Routine,2023-02-10,09:00:00,0 days 09:02:00,Inspection completed in IPX integration on 11/02/2023 by Scheduled Task
rps_lng-CVA210073,rps_lng-CVA210416,Closed,Routine,2023-03-01,09:00:00,0 days 09:02:00,Inspection completed in IPX integration on 03/03/2023 by Scheduled Task
rps_lng-CVA210073,rps_lng-CVA210416,Closed,Routine,2022-09-15,10:00:00,0 days 10:02:00,Inspection completed in IPX integration on 29/09/2022 by Scheduled Task
rps_lng-CVA210073,rps_lng-CVA210416,Closed,Routine,2022-03-04,11:00:00,0 days 11:03:00,Inspection completed in IPX integration on 11/03/2022 by Scheduled Task
rps_lng-CVA210073,rps_lng-CVA210416,Closed,Routine,2021-09-03,15:00:00,0 days 15:01:00,Inspection completed in IPX integration on 10/09/2021 by Scheduled Task
rps_lng-CVA210117,rps_lng-CVA210414,Closed,Routine,2023-05-17,09:00:00,0 days 09:03:00,Inspection completed in IPX integration on 18/05/2023 by Scheduled Task
rps_lng-CVA210117,rps_lng-CVA210414,Closed,Routine,2022-05-17,10:00:00,0 days 10:03:00,Inspection completed in IPX integration on 23/05/2022 by Reapit
rps_lng-CVA210117,rps_lng-CVA210414,Closed,Routine,2021-05-05,18:00:00,0 days 18:01:00,Inspection completed in IPX integration on 25/05/2021 by Scheduled Task
rps_lng-CVA210118,rps_lng-CVA210247,Confirmed,Routine,2022-06-21,08:00:00,0 days 08:08:00,Inspection completed in IPX integration on 30/06/2022 by Scheduled Task
rps_lng-CVA210118,rps_lng-CVA210247,Closed,Routine,2021-06-04,19:00:00,0 days 19:01:00,Inspection completed in IPX integration on 17/07/2021 by Scheduled Task
rps_lng-CVA210135,rps_lng-CVA210061,Closed,Routine,2021-09-03,15:00:00,0 days 15:01:00,Inspection completed in IPX integration on 16/10/2021 by Scheduled Task
rps_lng-CVA210153,rps_lng-CVA210164,Closed,Routine,2023-03-01,09:00:00,0 days 09:02:00,Inspection completed in IPX integration on 03/03/2023 by Scheduled Task
rps_lng-CVA210153,rps_lng-CVA210164,Closed,Routine,2022-09-15,10:00:00,0 days 10:02:00,Inspection completed in IPX integration on 29/09/2022 by Scheduled Task
rps_lng-CVA210153,rps_lng-CVA210164,Closed,Routine,2022-03-04,10:00:00,0 days 10:03:00,Inspection completed in IPX integration on 03/04/2022 by Scheduled Task
rps_lng-CVA210153,rps_lng-CVA210164,Closed,Routine,2021-07-02,11:00:00,0 days 11:05:00,Inspection completed in IPX integration on 19/08/2021 by Reapit
rps_lng-CVA210167,rps_lng-CVA210069,Closed,Routine,2022-07-01,14:00:00,0 days 14:02:00,Inspection completed in IPX integration on 04/07/2022 by Scheduled Task
rps_lng-CVA210167,rps_lng-CVA210069,Closed,Routine,2021-12-21,10:00:00,0 days 10:03:00,Inspection completed in IPX integration on 21/01/2022 by Scheduled Task
rps_lng-CVA210167,rps_lng-CVA210069,Closed,Routine,2021-06-30,11:00:00,0 days 11:04:00,Inspection completed in IPX integration on 19/08/2021 by Reapit
rps_lng-CVA210167,rps_lng-HDO221557,Closed,Routine,2023-05-23,10:00:00,0 days 10:03:00,Inspection completed in IPX integration on 25/05/2023 by Scheduled Task
rps_lng-CVA210171,rps_lng-CVA210243,Closed,Routine,2023-03-07,10:00:00,0 days 10:03:00,Inspection completed in IPX integration on 08/03/2023 by Scheduled Task
rps_lng-CVA210171,rps_lng-CVA210243,Closed,Routine,2022-09-13,09:00:00,0 days 09:03:00,Inspection completed in IPX integration on 14/09/2022 by Scheduled Task
rps_lng-CVA210171,rps_lng-CVA210243,Closed,Routine,2022-03-09,12:00:00,0 days 12:04:00,Inspection completed in IPX integration on 03/04/2022 by Scheduled Task
rps_lng-CVA210171,rps_lng-CVA210243,Closed,Routine,2021-09-03,15:00:00,0 days 15:01:00,Inspection completed in IPX integration on 10/09/2021 by Scheduled Task
rps_lng-CVA210173,rps_lng-CVA210487,Closed,Routine,2022-03-09,10:00:00,0 days 10:03:00,Inspection completed in IPX integration on 03/04/2022 by Scheduled Task
rps_lng-CVA210176,rps_lng-CVA210558,Closed,Routine,2021-09-03,15:00:00,0 days 15:01:00,Inspection completed in IPX integration on 06/09/2021 by Scheduled Task
rps_lng-CVA210180,rps_lng-HDO220640,Confirmed,Routine,2022-12-21,08:30:00,0 days 08:35:30,Inspection completed in IPX integration on 23/12/2022 by Scheduled Task
rps_lng-CVA210185,rps_lng-CVA210401,Closed,Routine,2022-03-18,15:30:00,0 days 15:32:00,Inspection completed in IPX integration on 22/03/2022 by Scheduled Task
rps_lng-CVA210185,rps_lng-CVA210401,Closed,Routine,2021-09-03,15:00:00,0 days 15:01:00,Inspection completed in IPX integration on 27/10/2021 by Scheduled Task
rps_lng-CVA210185,rps_lng-HDO221031,Closed,Routine,2023-07-27,10:00:00,0 days 10:03:00,
rps_lng-CVA210185,rps_lng-HDO221031,Closed,Routine,2023-01-19,09:00:00,0 days 09:02:00,Inspection completed in IPX integration on 01/02/2023 by Scheduled Task
rps_lng-CVA210194,rps_lng-CVA210537,Closed,Routine,2023-02-21,11:00:00,0 days 11:03:00,Inspection completed in IPX integration on 22/02/2023 by Scheduled Task
