invoice_type,property_id,creditor_id,tenancy_id,entered_date,due_date,creditor_reference,is_priority,line_1_account_code,line_1_description,line_1_amount_due,line_1_gst_due,line_1_amount_paid
Creditor,rps_lng-CVA210023,rps_lng-CVA21001869,rps_lng-HDO211377,2022-07-20,2022-07-26,Replacement of hot water service,,,,2178.0,0,0
Tenancy,rps_lng-CVA210023,,rps_lng-HDO211377,2022-05-26,2022-08-25,Repair to courtyard door and holders in laundry,,,,0.0,0,0
Creditor,rps_lng-CVA210032,rps_lng-HDO19001188,rps_lng-CVA210538,2022-11-28,2023-01-03,Electrical and Gas Safety,,,,528.0,0,0
Creditor,rps_lng-CVA210032,rps_lng-CVA21001869,rps_lng-CVA210538,2022-02-04,2022-02-04,Investigate roof leak,,,,318.18,0,0
Tenancy,rps_lng-CVA210032,rps_lng-CVA21001869,rps_lng-CVA210538,2022-01-11,2022-01-24,Repair to roof leak,,,,231.55,0,0
Creditor,rps_lng-CVA210032,rps_lng-DRE19000036,rps_lng-CVA210538,2021-04-01,2022-07-08,Repair to window in master bedroom,,,,847.0,0,0
Creditor,rps_lng-CVA210066,rps_lng-HDO19001147,rps_lng-HDO210209,2021-10-13,2021-10-25,Kitchen - sink repair,,,,114.7,0,0
Creditor,rps_lng-CVA210066,rps_lng-HDO19001147,rps_lng-HDO210209,2021-09-20,2021-10-01,Water Pipes,,,,158.4,0,0
Tenancy,rps_lng-CVA210066,rps_lng-CVA21002081,rps_lng-HDO210209,2021-02-23,2021-03-10,Beam repair BIR & main switch panel cover fixing,,,,148.5,0,0
Tenancy,rps_lng-CVA210066,rps_lng-SAN22000095,rps_lng-HDO220335,2023-02-10,2023-04-11,Bedroom Light Switch,,,,0.0,0,0
Creditor,rps_lng-CVA210066,rps_lng-VAD21000019,rps_lng-HDO220335,2022-03-17,2022-10-14,Gas and Electrical Checks,,,,0.0,0,0
Creditor,rps_lng-CVA210067,rps_lng-HDO19001188,rps_lng-CVA210093,2023-04-05,2023-06-01,Gas and Electrical Check,,,,528.0,0,0
Creditor,rps_lng-CVA210067,rps_lng-DRE19000036,rps_lng-CVA210093,2021-09-17,2022-02-08,Water Damage Repairs,,,,3063.5,0,0
Creditor,rps_lng-CVA210068,rps_lng-WES20000008,rps_lng-HDO210202,2022-03-04,2022-04-22,Flooded Carpets,,,,1760.55,0,0
Creditor,rps_lng-CVA210068,rps_lng-WES20000008,rps_lng-HDO210202,2022-01-28,2022-04-22,Wet Carpets,,,,0.0,0,0
Creditor,rps_lng-CVA210068,rps_lng-VAD21000019,rps_lng-HDO220375,2022-04-04,2022-10-14,Gas & Electrical Checks,,,,0.0,0,0
Creditor,rps_lng-CVA210071,rps_lng-SAN22000095,rps_lng-HDO210133,2022-06-24,2022-07-11,Wall Heater,,,,601.26,0,0
Creditor,rps_lng-CVA210071,rps_lng-VAD21000019,rps_lng-HDO210133,2022-01-04,2022-02-17,Main Bedroom Blinds,,,,143.0,0,0
Tenancy,rps_lng-CVA210071,rps_lng-CVA21002081,rps_lng-HDO210133,2021-03-01,2021-03-18,Window not closing and letterbox not locking,,,,242.0,0,0
Tenancy,rps_lng-CVA210071,rps_lng-CVA21001869,rps_lng-HDO210133,2021-02-25,2021-03-10,Shower head issue & toilet leak and noise,,,,257.68,0,0
Creditor,rps_lng-CVA210072,rps_lng-HDO19001147,rps_lng-CVA210520,2022-04-01,2022-04-01,Investigate urgent hot water leak,,,,400.18,0,0
Creditor,rps_lng-CVA210072,rps_lng-WES20000008,rps_lng-CVA210520,2022-03-04,2022-03-21,Burst HWS - Please Dry carpets again,,,,2093.3,0,0
Creditor,rps_lng-CVA210072,rps_lng-HDO19001147,rps_lng-CVA210520,2022-02-01,2022-02-01,Install new inlet valve,,,,89.03,0,0
Creditor,rps_lng-CVA210072,rps_lng-HDO19001147,rps_lng-CVA210520,2022-02-01,2022-02-01,Hot Water Service,,,,1574.27,0,0
Creditor,rps_lng-CVA210072,rps_lng-HDO19001147,rps_lng-CVA210520,2022-01-27,2022-01-27,Burst Hot Water System,,,,462.0,0,0
