property_id,ownership_id,property_type,unit,street_no,street_1,street_2,suburb,state,postcode,bedrooms,bathrooms,car_spaces,lot_no,area,authority_start,authority_end,gained,gained_reason,rent_account,rent_description,rent_amount,rent_period,outgoings_[n]_account,outgoings_[n]_description,outgoings_[n]_amount,tag_[group name],fee_[fee id]
rps_lng-CVA210023,rps_lng-CVA210015, Residential_House ,,35A,Cameron Street,,COBURG,VIC,3058,2,1,1,,0,,,2023-01-30T09:32:19+00:00,,rntinc,,495.0247,Monthly,,,,,
rps_lng-CVA210032,rps_lng-CVA210020, Residential_Townhouse ,,124,Leicester Street,,FITZROY,VIC,3065,2,1,1,,0,,,2023-01-30T09:51:38+00:00,,rntinc,,710.2,Weekly,,,,,
rps_lng-CVA210067,rps_lng-CVA210054, Residential_Apartment ,904,1,Roy Street,,MELBOURNE,VIC,3004,2,1,2,,0,,,2022-07-19T18:55:19+01:00,,rntinc,,640.01,Weekly,,,,,
rps_lng-CVA210068,rps_lng-CVA210055, Residential_Apartment ,33,88,Franklin Street,,MELBOURNE,VIC,3000,1,1,0,,0,,,2022-06-02T15:01:05+01:00,,rntinc,,330.0,Weekly,,,,,
rps_lng-CVA210071,rps_lng-CVA210058, Residential_Apartment ,31,88,Franklin Street,,MELBOURNE,VIC,3000,1,1,0,,0,,,2023-03-18T14:32:20+00:00,,rntinc,,429.8959,Weekly,,,,,
rps_lng-CVA210072,rps_lng-CVA210059, Residential_Apartment ,50,88,Franklin Street,,MELBOURNE,VIC,3000,2,1,0,,0,,,2023-01-10T11:19:01+00:00,,rntinc,,410.1041,Monthly,,,,,
rps_lng-CVA210073,rps_lng-CVA210060, Residential_Apartment ,52,88,Franklin Street,,MELBOURNE,VIC,3000,1,1,0,,0,,,2023-07-18T13:32:14+01:00,,rntinc,,365.23,Weekly,,,,,
rps_lng-CVA210117,rps_lng-CVA210104, Residential_House ,,47,Gillies Street,,FAIRFIELD,VIC,3078,3,1,0,,0,,,2023-01-30T09:22:26+00:00,,rntinc,,815.15,Weekly,,,,,
rps_lng-CVA210118,rps_lng-CVA210104, Residential_House ,,121,Holden Street,,FITZROY NORTH,VIC,3068,4,1,1,,0,,,2023-04-13T12:09:26+01:00,,rntinc,,955.0685,Monthly,,,,,
rps_lng-CVA210153,rps_lng-CVA210143, Residential_Apartment ,19,88,Franklin Street,,MELBOURNE,VIC,3000,1,1,0,,0,,,2023-04-12T19:01:24+01:00,,rntinc,,360.16,Weekly,,,,,
rps_lng-CVA210167,rps_lng-CVA210163, Residential_Apartment ,7,9,Denbigh Road,,ARMADALE,VIC,3143,2,1,1,,0,,,2022-11-21T10:11:26+00:00,,rntinc,,399.9781,Monthly,,,,,
rps_lng-CVA210171,rps_lng-CVA210167, Residential_Apartment ,14,470,Punt Road,,SOUTH YARRA,VIC,3141,1,1,1,,0,2021-07-29T14:50:08+01:00,,2023-06-26T09:35:58+01:00,,rntinc,,350.0,Weekly,,,,,
rps_lng-CVA210180,rps_lng-CVA210176, Residential_Apartment ,1,57,Eglinton Street,,MOONEE PONDS,VIC,3039,2,1,1,,0,,,2023-06-16T09:42:14+01:00,,rntinc,,530.0055,Monthly,,,,,
rps_lng-CVA210185,rps_lng-CVA210182, Residential_Apartment ,2,101,Victoria Road,,HAWTHORN EAST,VIC,3123,2,1,1,,0,,,2022-07-25T13:11:18+01:00,,rntinc,,450.1479,Monthly,,,,,
rps_lng-CVA210194,rps_lng-CVA210191, Residential_Townhouse ,3,21,Lisson Grove,,HAWTHORN,VIC,3122,3,2,2,,0,,,2023-06-22T14:39:28+01:00,,rntinc,,700.08,Weekly,,,,,
rps_lng-CVA210231,rps_lng-CVA210236, Residential_Apartment ,3,835,Plenty Road,,RESERVOIR,VIC,3073,2,1,1,,0,,,2023-01-30T09:33:20+00:00,,rntinc,,310.22,Weekly,,,,,
rps_lng-CVA210272,rps_lng-CVA210274, Residential_House ,,16,Gowrie Street,,Bentleigh East,VIC,3165,3,1,2,,0,,,2022-09-13T16:12:05+01:00,,rntinc,,399.9781,Monthly,,,,,
rps_lng-CVA210383,rps_lng-CVA210353, Residential_Apartment ,1,67,Auburn Road,,HAWTHORN,VIC,3122,1,1,1,,0,,,2022-06-02T15:01:05+01:00,,rntinc,,315.06,Monthly,,,,,
rps_lng-CVA210384,rps_lng-CVA210354, Residential_Apartment ,2,67,Auburn Road,,HAWTHORN,VIC,3122,1,1,1,,0,,,2022-09-27T13:24:00+01:00,,rntinc,,320.12,Monthly,,,,,
rps_lng-CVA210385,rps_lng-CVA210355, Residential_Apartment ,3,67,Auburn Road,,HAWTHORN,VIC,3122,1,1,1,,0,,,2023-06-19T12:11:17+01:00,,rntinc,,379.9562,Monthly,,,,,
rps_lng-CVA210389,rps_lng-CVA210359, Residential_Apartment ,18,19a,Ellesmere Road,,WINDSOR,VIC,3181,1,1,1,,0,,,2022-10-05T11:01:03+01:00,,rntinc,,330.021,Weekly,,,,,
rps_lng-CVA210391,rps_lng-CVA210361, Residential_Apartment ,400,8,Waterview Walk,,DOCKLANDS,VIC,3008,1,1,0,,0,,,2023-02-08T18:25:22+00:00,,rntinc,,319.8904,Monthly,,,,,
rps_lng-CVA210401,rps_lng-CVA210371, Residential_Apartment ,401,69,Victoria Street,,FITZROY,VIC,3065,2,2,2,,0,,,2023-06-07T14:11:57+01:00,,rntinc,,599.9671,Weekly,,,,,
rps_lng-CVA210406,rps_lng-CVA210376, Residential_House ,,110,Kangaroo Road,,HUGHESDALE,VIC,3166,2,1,2,,0,,,2022-10-11T14:32:20+01:00,,rntinc,,620.0,Weekly,,,,,
rps_lng-CVA210411,rps_lng-CVA210382, Residential_Apartment ,2,26-28,Broadway,,ELWOOD,VIC,3184,1,1,1,,0,2022-06-01T17:09:51+01:00,,2023-05-15T17:40:45+01:00,,rntinc,,399.9781,Monthly,,,,,
rps_lng-CVA210417,rps_lng-CVA210388, Residential_Apartment ,1106,18,Mt Alexander Road,,TRAVANCORE,VIC,3032,2,1,1,,0,,,2023-07-20T09:34:48+01:00,,rntinc,,385.0192,Monthly,,,,,
rps_lng-CVA210420,rps_lng-CVA210391, Residential_Apartment ,1419,18,Mt Alexander Road,,TRAVANCORE,VIC,3032,2,1,1,,0,,,2023-05-17T11:22:44+01:00,,rntinc,,395.15,Monthly,,,,,
rps_lng-CVA210429,rps_lng-CVA210400, Residential_Apartment ,4,185,Auburn Road,,HAWTHORN,VIC,3122,2,1,1,,0,,,2022-10-03T11:07:30+01:00,,rntinc,,450.15,Weekly,,,,,
rps_lng-CVA210435,rps_lng-CVA210406, Residential_House ,,52,Freeman Street,,FITZROY NORTH,VIC,3068,2,1,0,,0,,,2023-01-30T09:43:12+00:00,,rntinc,,585.01,Weekly,,,,,
rps_lng-CVA210436,rps_lng-CVA210407, Residential_Apartment ,606,65,Coventry Street,,SOUTHBANK,VIC,3006,1,1,1,,0,,,2023-01-19T12:46:27+00:00,,rntinc,,345.21,Weekly,,,,,
rps_lng-CVA210439,rps_lng-CVA210410, Residential_Apartment ,1104,50,Albert Road,,South Melbourne,VIC,3205,2,1,1,,0,2022-08-29T11:07:22+01:00,,2023-07-19T09:33:38+01:00,,rntinc,,619.989,Monthly,,,,,
rps_lng-CVA210459,rps_lng-CVA210430, Residential_Apartment ,107,63-69,Rouse Street,,PORT MELBOURNE,VIC,3207,1,1,1,,0,,,2023-02-07T09:47:32+00:00,,rntinc,,399.9781,Monthly,,,,,
rps_lng-CVA210465,rps_lng-CVA210437, Residential_Apartment ,536,63,Spencer Street,,DOCKLANDS,VIC,3008,1,1,1,,0,,,2023-02-13T17:45:16+00:00,,rntinc,,400.0,Weekly,,,,,
rps_lng-CVA210491,rps_lng-CVA210397, Residential_Apartment ,17,32,East Esplanade,,ST ALBANS,VIC,3021,1,1,1,,0,,,2023-02-24T15:26:10+00:00,,rntinc,,330.0164,Monthly,,,,,
rps_lng-CVA210507,rps_lng-CVA210481, Residential_Apartment ,12,35,Tulip Grove,,CHELTENHAM,VIC,3192,2,1,1,,0,,,2023-02-21T15:02:21+00:00,,rntinc,,425.063,Monthly,,,,,
rps_lng-CVA210513,rps_lng-CVA210487, Residential_Apartment ,601,7,Katherine Place,,MELBOURNE,VIC,3000,1,1,0,,0,,,2023-07-20T15:43:26+01:00,,rntinc,,350.0384,Monthly,,,,,
rps_lng-CVA210542,rps_lng-CVA210166, Residential_Apartment ,902,288,Albert Street,,BRUNSWICK,VIC,3056,2,1,1,,0,,,2022-12-08T11:23:12+00:00,,rntinc,,425.063,Monthly,,,,,
