tenancy_id,property_id,original_lease_start,lease_start,lease_end,vacate_type,notice_sent_received,termination_date,moving_out,charge_to,contact_1_id,contact_[n]_auto_email_receipts,contact_[n]_auto_email_invoices,contact_[n]_enotices_no_consent,contact_[n]_dont_send_marketing,contact_[n]_type,contact_[n]_account_name,contact_[n]_account_bsb,contact_[n]_account_no,direct_debit_invoices,direct_debit_rent,direct_debit_contact_id,direct_debit_max_amount,direct_debit_schedule_description,direct_debit_schedule_period,direct_debit_schedule_amount,direct_debit_schedule_start,direct_debit_schedule_end,last_rent_review,next_rent_review,rent_account,rent_description,rent_start,rent_period,rent_amount,new_rent_start,new_rent_period,new_rent_amount,rent_paid_to,rent_credit,outgoings_[n]_account,outgoings_[n]_description,outgoings_[n]_amount,outgoings_[n]_paid_to,outgoings_[n]_credit,new_outgoings_[n]_amount,bond_[n]_required,bond_[n]_account,bond_[n]_reference,bond_[n]_lodged_direct,held_for_tenancy,tag_[group name],fee_[fee id],contact_2_id,contact_3_id,contact_4_id,contact_5_id,contact_6_id
rps_lng-HDO211377,rps_lng-CVA210023,12/11/2022,12/11/2022,11/11/2024,,,,,,rps_lng-HDO21002948,,,,,,,,,,,,,,,,,,,,,,,Monthly,495.0247,,,,,,,,,,,,,,,,,,,,,,,
rps_lng-CVA210538,rps_lng-CVA210032,1/10/2022,1/10/2022,30/09/2023,,,,,,rps_lng-CVA21001557,,,,,,,,,,,,,,,,,,2023-06-20T00:00:00+01:00,,,,,Monthly,710.2027,,,,,,,,,,,,,,,,,,,rps_lng-CVA21001558,,,,
rps_lng-HDO210209,rps_lng-CVA210066,19/02/2021,19/02/2021,4/03/2022,,,,,,rps_lng-HDO21000459,,,,,,,,,,,,,,,,,,,,,,,Monthly,270.1808,,,,,,,,,,,,,,,,,,,,,,,
rps_lng-HDO220335,rps_lng-CVA210066,8/03/2022,8/03/2022,7/03/2023,,,,,,rps_lng-HDO22000679,,,,,,,,,,,,,,,,,,,,,,,Monthly,330.0164,,,,,,,,,,,,,,,,,,,,,,,
rps_lng-CVA210093,rps_lng-CVA210067,1/01/2020,1/01/2020,31/01/2021,,,,,,rps_lng-CVA21001534,,,,,,,,,,,,,,,,,,,2023-12-01T10:00:00+00:00,,,,Monthly,640.011,,,,,,,,,,,,,,,,,,,rps_lng-CVA21001535,,,,
rps_lng-HDO210202,rps_lng-CVA210068,18/02/2021,18/02/2021,17/03/2022,,,,,,rps_lng-HDO21000429,,,,,,,,,,,,,,,,,,,,,,,Monthly,260.0548,,,,,,,,,,,,,,,,,,,rps_lng-HDO21000428,,,,
rps_lng-HDO220375,rps_lng-CVA210068,21/03/2023,21/03/2023,20/03/2024,,,,,,rps_lng-HDO22000766,,,,,,,,,,,,,,,,,,,,,,,Monthly,350.0384,,,,,,,,,,,,,,,,,,,,,,,
rps_lng-HDO210133,rps_lng-CVA210071,19/02/2022,19/02/2022,18/02/2023,,,,,,rps_lng-HDO21000271,,,,,,,,,,,,,,,,,,,,,,,Monthly,260.0548,,,,,,,,,,,,,,,,,,,,,,,
rps_lng-HDO230303,rps_lng-CVA210071,18/03/2023,18/03/2023,17/03/2024,,,,,,rps_lng-HDO23000919,,,,,,,,,,,,,,,,,,,,,,,Monthly,429.8959,,,,,,,,,,,,,,,,,,,,,,,
rps_lng-CVA210520,rps_lng-CVA210072,18/02/2022,18/02/2022,17/08/2022,,,,,,rps_lng-CVA21000570,,,,,,,,,,,,,,,,,,,,,,,Monthly,300.0986,,,,,,,,,,,,,,,,,,,,,,,
rps_lng-HDO221153,rps_lng-CVA210072,18/08/2023,18/08/2023,17/08/2025,,,,,,rps_lng-HDO22002581,,,,,,,,,,,,,,,,,,,,,,,Monthly,509.9836,,,,,,,,,,,,,,,,,,,,,,,
rps_lng-CVA210416,rps_lng-CVA210073,15/10/2022,15/10/2022,14/10/2023,,,,,,rps_lng-CVA21001532,,,,,,,,,,,,,,,,,,,,,,,Monthly,324.9534,,,,,,,,,,,,,,,,,,,,,,,
rps_lng-CVA210282,rps_lng-CVA210107,21/06/2020,21/06/2020,30/07/2021,,,,,,rps_lng-CVA21001506,,,,,,,,,,,,,,,,,,,,,,,Monthly,530.0055,,,,,,,,,,,,,,,,,,,rps_lng-CVA21001507,,,,
rps_lng-CVA210414,rps_lng-CVA210117,1/07/2022,1/07/2022,31/12/2022,,,,,,rps_lng-CVA21000603,,,,,,,,,,,,,,,,,,,2023-09-01T00:00:00+01:00,,,,Monthly,815.1452,,,,,,,,,,,,,,,,,,,rps_lng-CVA21000604,,,,
rps_lng-CVA210247,rps_lng-CVA210118,1/04/2023,1/04/2023,29/02/2024,,,,,,rps_lng-HDO22000462,,,,,,,,,,,,,,,,,,,,,,,Monthly,984.9863,,,,,,,,,,,,,,,,,,,rps_lng-HDO23001975,,,,
rps_lng-CVA210061,rps_lng-CVA210135,1/06/2019,1/06/2019,25/11/2021,,,,,,rps_lng-CVA21001436,,,,,,,,,,,,,,,,,,,,,,,Monthly,435.189,,,,,,,,,,,,,,,,,,,rps_lng-CVA21001437,,,,
rps_lng-CVA210164,rps_lng-CVA210153,1/06/2023,1/06/2023,31/12/2023,,,,,,rps_lng-CVA21000618,,,,,,,,,,,,,,,,,,,,,,,Monthly,399.9781,,,,,,,,,,,,,,,,,,,rps_lng-CVA21000619,,,,
rps_lng-CVA210234,rps_lng-CVA210157,28/02/2021,28/02/2021,27/08/2022,,,,,,rps_lng-CVA21000621,,,,,,,,,,,,,,,,,,,,,,,Monthly,470.1699,,,,,,,,,,,,,,,,,,,rps_lng-CVA21000622,,,,
rps_lng-CVA210069,rps_lng-CVA210167,1/07/2019,1/07/2019,14/11/2022,,,,,,rps_lng-CVA21000629,,,,,,,,,,,,,,,,,,,,,,,Monthly,370.0603,,,,,,,,,,,,,,,,,,,rps_lng-CVA21000628,,,,
rps_lng-HDO221557,rps_lng-CVA210167,18/11/2022,18/11/2022,17/11/2023,,,,,,rps_lng-HDO22003588,,,,,,,,,,,,,,,,,,,,,,,Monthly,399.9781,,,,,,,,,,,,,,,,,,,rps_lng-HDO23001301,,,,
rps_lng-CVA210243,rps_lng-CVA210171,1/03/2023,1/03/2023,31/08/2023,,,,,,rps_lng-CVA21000633,,,,,,,,,,,,,,,,,,,,,,,Monthly,350.0384,,,,,,,,,,,,,,,,,,,,,,,
rps_lng-CVA210487,rps_lng-CVA210173,1/07/2021,1/07/2021,13/08/2022,,,,,,rps_lng-CVA21001451,,,,,,,,,,,,,,,,,,,,,,,Monthly,300.0986,,,,,,,,,,,,,,,,,,,,,,,
rps_lng-CVA210558,rps_lng-CVA210176,9/10/2020,9/10/2020,4/11/2021,,,,,,rps_lng-CVA21000634,,,,,,,,,,,,,,,,,,,,,,,Monthly,280.0767,,,,,,,,,,,,,,,,,,,,,,,
rps_lng-HDO220640,rps_lng-CVA210180,30/05/2022,30/05/2022,29/05/2023,,,,,,rps_lng-HDO22001270,,,,,,,,,,,,,,,,,,,,,,,Monthly,500.0877,,,,,,,,,,,,,,,,,,,rps_lng-HDO22001269,,,,
rps_lng-HDO230625,rps_lng-CVA210180,1/06/2023,1/06/2023,31/05/2024,,,,,,rps_lng-HDO23001720,,,,,,,,,,,,,,,,,,,,,,,Monthly,530.0055,,,,,,,,,,,,,,,,,,,rps_lng-HDO23001719,,,,
rps_lng-CVA210401,rps_lng-CVA210185,27/02/2020,27/02/2020,30/06/2022,,,,,,rps_lng-CVA21000643,,,,,,,,,,,,,,,,,,,,,,,Monthly,450.1479,,,,,,,,,,,,,,,,,,,rps_lng-CVA21000644,,,,
rps_lng-HDO221031,rps_lng-CVA210185,23/07/2022,23/07/2022,22/07/2023,,,,,,rps_lng-HDO22002230,,,,,,,,,,,,,,,,,,,2024-04-01T16:00:00+01:00,,,,Monthly,475.0027,,,,,,,,,,,,,,,,,,,,,,,
rps_lng-CVA210537,rps_lng-CVA210194,4/09/2021,4/09/2021,3/09/2022,,,,,,rps_lng-CVA21000658,,,,,,,,,,,,,,,,,,,,,,,Monthly,700.0767,,,,,,,,,,,,,,,,,,,,,,,
rps_lng-CVA210408,rps_lng-CVA210211,1/06/2022,1/06/2022,30/11/2022,,,,,,rps_lng-CVA21000670,,,,,,,,,,,,,,,,,,,,,,,Monthly,464.8767,,,,,,,,,,,,,,,,,,,rps_lng-CVA21000671,,,,
