tenancy_id,ID,DateTime,Type,Category,Description,IsCredit,IsDebit,Gross,Net,Balance,VAT,Unallocated,PaymentType,Rent_paid_to,Rent_credit
rps_lng-CHA190010,rps_lng-HDO23326711,2023-08-01T00:00:00+01:00,Invoice,Rent,Rent from 01/08/2023 to 31/08/2023 for 1/1A Teague Avenue,False,True,2303.0,2303.0,,,,,31/08/2023,
rps_lng-CHA190010,rps_lng-HDO23324551,2023-07-25T00:00:00+01:00,Payment,Tenant Payment,Tenancy Receipt Ref: DEFT Bpay 33137936,True,False,2303.0,2303.0,2303.0,,,,,2303.0
rps_lng-CHA190047,rps_lng-HDO23331541,2023-08-04T00:00:00+01:00,Invoice,Rent,Rent from 04/08/2023 to 03/09/2023 for 4/96 Northumberland Road,False,True,2129.0,2129.0,-2129.0,,,,03/09/2023,
rps_lng-CHA190047,rps_lng-HDO23345113,2023-08-04T00:00:00+01:00,Payment,Tenant Payment,Tenancy Receipt Ref: 4/96NORTHUMBERLA-1,True,False,2129.0,2129.0,,,,,,0.0
rps_lng-CVA210047,rps_lng-HDO23327592,2023-07-26T00:00:00+01:00,Payment,Tenant Payment,Tenancy Receipt Ref: 16GOWRIESTREET-1,True,False,1955.0,1955.0,,,,,,0.0
rps_lng-CVA210047,rps_lng-HDO23317845,2023-07-26T00:00:00+01:00,Invoice,Rent,Rent from 26/07/2023 to 25/08/2023 for 16 Gowrie Street,False,True,1955.0,1955.0,-1955.0,,,,25/08/2023,
rps_lng-CVA210051,rps_lng-HDO21135617,2021-04-20T00:00:00+01:00,Payment,Tenant Payment,Tenant repayment,False,True,2310.0,2310.0,,,,,,0.0
rps_lng-CVA210051,rps_lng-HDO21065043,2021-03-01T00:00:00+00:00,Invoice,Rent,Rent from 01/03/2021 to 05/03/2021 for 6/23 Edgar Street,False,True,289.32,289.32,-289.32,,,,05/03/2021,
rps_lng-CVA210061,rps_lng-HDO21419806,2021-11-01T00:00:00+00:00,Payment,Tenant Payment,Tenancy Receipt Ref: 15/11THEAVENUE-2,True,False,1554.25,1554.25,,,,,,0.0
rps_lng-CVA210061,rps_lng-HDO21407532,2021-11-01T00:00:00+00:00,Invoice,Rent,Rent from 01/11/2021 to 25/11/2021 for 15/11 The Avenue,False,True,1554.25,1554.25,-1554.25,,,,25/11/2021,
rps_lng-CVA210063,rps_lng-HDO21116841,2021-04-01T00:00:00+01:00,Payment,Tenant Payment,Tenancy Receipt Ref: OC1194285,True,False,2564.0,2564.0,,,,,,0.0
rps_lng-CVA210063,rps_lng-HDO21106052,2021-04-01T00:00:00+01:00,Invoice,Rent,Rent from 01/04/2021 to 30/04/2021 for 1801/1 William Street,False,True,2564.0,2564.0,-2564.0,,,,30/04/2021,
rps_lng-CVA210069,rps_lng-HDO23316358,2023-07-20T00:00:00+01:00,Debit Adjustment,Tenant Payment,Dishonoured Direct Debit: Tenancy Receipt Ref: 7/9DENBIGHROAD,False,True,1738.0,1738.0,-25.0,,,,,0.0
rps_lng-CVA210069,rps_lng-HDO23354861,2023-08-18T00:00:00+01:00,Invoice,Rent,Rent from 18/08/2023 to 17/09/2023 for 7/9 Denbigh Road,False,True,1738.0,1738.0,-1763.0,,1738.0,,17/09/2023,
rps_lng-CVA210093,rps_lng-HDO23337205,2023-08-01T00:00:00+01:00,Payment,Tenant Payment,Tenancy Receipt Ref: OC1213381,True,False,2781.0,2781.0,,,,,,0.0
rps_lng-CVA210093,rps_lng-HDO23325659,2023-08-01T00:00:00+01:00,Invoice,Rent,Rent from 01/08/2023 to 31/08/2023 for 904/1 Roy Street,False,True,2781.0,2781.0,-2781.0,,,,31/08/2023,
rps_lng-CVA210098,rps_lng-HDO23337203,2023-08-01T00:00:00+01:00,Payment,Tenant Payment,Tenancy Receipt Ref: OC1215799,True,False,1413.0,1413.0,,,,,,0.0
rps_lng-CVA210098,rps_lng-HDO23325941,2023-08-01T00:00:00+01:00,Invoice,Rent,Rent from 01/08/2023 to 31/08/2023 for 1/67 Auburn Road,False,True,1413.0,1413.0,-1413.0,,,,31/08/2023,
rps_lng-CVA210099,rps_lng-HDO23337201,2023-08-01T00:00:00+01:00,Payment,Tenant Payment,Tenancy Receipt Ref: OC1215800,True,False,1413.0,1413.0,,,,,,0.0
rps_lng-CVA210099,rps_lng-HDO23325950,2023-08-01T00:00:00+01:00,Invoice,Rent,Rent from 01/08/2023 to 31/08/2023 for 2/67 Auburn Road,False,True,1413.0,1413.0,-1413.0,,,,31/08/2023,
rps_lng-CVA210100,rps_lng-HDO23318330,2023-07-20T00:00:00+01:00,Payment,Tenant Payment,Tenancy Receipt Ref: 3/67AUBURNROAD,True,False,1651.0,1651.0,,,,,,0.0
rps_lng-CVA210100,rps_lng-HDO23357639,2023-08-20T00:00:00+01:00,Invoice,Rent,Rent from 20/08/2023 to 19/09/2023 for 3/67 Auburn Road,False,True,1651.0,1651.0,-1651.0,,1651.0,,19/09/2023,
rps_lng-CVA210102,rps_lng-HDO23337199,2023-08-01T00:00:00+01:00,Payment,Tenant Payment,Tenancy Receipt Ref: OC1215806,True,False,1478.0,1478.0,,,,,,0.0
rps_lng-CVA210102,rps_lng-HDO23325956,2023-08-01T00:00:00+01:00,Invoice,Rent,Rent from 01/08/2023 to 31/08/2023 for 18/19a Ellesmere Road,False,True,1478.0,1478.0,-1478.0,,,,31/08/2023,
